S4320
100   0
99.682   0.044
98.739   0.182
97.202   0.426
95.108   0.78
92.5   1.242
89.426   1.804
85.937   2.454
82.088   3.175
77.933   3.946
73.529   4.746
68.931   5.55
64.198   6.333
59.384   7.063
54.536   7.709
49.698   8.242
44.898   8.642
40.169   8.902
35.549   9.018
31.075   8.991
26.783   8.826
22.712   8.53
18.903   8.108
15.387   7.563
12.192   6.906
9.342   6.147
6.855   5.3
4.745   4.385
3.022   3.425
1.69   2.445
0.744   1.483
0.179   0.598
0   0
0.009   -0.116
0.38   -0.601
1.372   -0.931
2.926   -1.168
5.023   -1.305
7.648   -1.348
10.78   -1.304
14.39   -1.185
18.445   -1.009
22.9   -0.788
27.707   -0.54
32.807   -0.283
38.137   -0.031
43.629   0.206
49.213   0.417
54.818   0.596
60.374   0.738
65.811   0.838
71.057   0.894
76.047   0.905
80.716   0.871
85   0.791
88.833   0.671
92.161   0.526
94.939   0.373
97.133   0.229
98.719   0.11
99.678   0.029
100   0
