S4053
100   0
99.662   0.053
98.686   0.231
97.153   0.538
95.119   0.935
92.601   1.381
89.611   1.877
86.192   2.422
82.393   3.011
78.266   3.632
73.869   4.271
69.26   4.911
64.5   5.531
59.647   6.102
54.753   6.592
49.853   6.973
44.977   7.232
40.16   7.368
35.444   7.383
30.868   7.28
26.476   7.066
22.31   6.749
18.409   6.333
14.813   5.828
11.551   5.243
8.655   4.588
6.147   3.879
4.053   3.131
2.388   2.36
1.163   1.584
0.377   0.823
0.013   0.131
0   0
0.152   -0.393
0.876   -0.781
2.265   -1.116
3.99   -1.388
6.334   -1.592
9.177   -1.729
12.494   -1.808
16.249   -1.84
20.391   -1.829
24.875   -1.771
29.661   -1.671
34.698   -1.541
39.927   -1.392
45.286   -1.231
50.711   -1.064
56.138   -0.896
61.507   -0.731
66.752   -0.579
71.809   -0.443
76.614   -0.328
81.105   -0.236
85.226   -0.165
88.923   -0.113
92.145   -0.075
94.854   -0.041
97.028   -0.003
98.646   0.018
99.655   0.01
100   0
