S4158
100   0
99.654   0.023
98.621   0.111
96.923   0.307
94.604   0.654
91.742   1.182
88.428   1.89
84.751   2.757
80.801   3.745
76.666   4.799
72.424   5.83
68.083   6.722
63.593   7.442
58.958   8.025
54.234   8.482
49.464   8.805
44.69   8.996
39.957   9.057
35.312   8.992
30.808   8.804
26.485   8.486
22.375   8.044
18.512   7.496
14.936   6.857
11.693   6.137
8.808   5.342
6.297   4.484
4.177   3.594
2.474   2.697
1.209   1.814
0.392   0.965
0.018   0.185
0   0
0.127   -0.429
0.801   -0.894
2.053   -1.294
3.845   -1.613
6.167   -1.849
9.001   -2.012
12.317   -2.113
16.075   -2.16
20.228   -2.159
24.73   -2.109
29.534   -2.016
34.59   -1.888
39.838   -1.735
45.218   -1.565
50.667   -1.385
56.12   -1.202
61.511   -1.022
66.775   -0.852
71.848   -0.696
76.666   -0.556
81.168   -0.437
85.297   -0.337
88.999   -0.257
92.225   -0.193
94.931   -0.14
97.083   -0.087
98.668   -0.035
99.659   -0.005
100   0
