S 4110-084-84   61
100   0
99.677   0.055
98.738   0.228
97.242   0.521
95.237   0.908
92.746   1.359
89.794   1.868
86.424   2.43
82.685   3.033
78.63   3.657
74.31   4.282
69.771   4.883
65.062   5.439
60.225   5.934
55.306   6.352
50.349   6.683
45.401   6.922
40.507   7.062
35.714   7.102
31.066   7.042
26.612   6.885
22.394   6.631
18.453   6.285
14.83   5.849
11.555   5.328
8.659   4.729
6.167   4.06
4.093   3.323
2.437   2.536
1.204   1.73
0.4   0.935
0.021   0.191
0   0
0.119   -0.408
0.755   -0.892
1.905   -1.317
3.554   -1.63
5.723   -1.82
8.413   -1.911
11.599   -1.92
15.247   -1.865
19.313   -1.757
23.751   -1.605
28.509   -1.417
33.537   -1.202
38.774   -0.97
44.162   -0.728
49.64   -0.487
55.145   -0.258
60.606   -0.053
65.957   0.121
71.127   0.26
76.051   0.36
80.665   0.418
84.906   0.436
88.717   0.416
92.046   0.363
94.843   0.285
97.068   0.193
98.686   0.102
99.67   0.029
100   0
