S4022
100   0
99.679   0.128
98.795   0.501
97.456   1.036
95.658   1.638
93.381   2.295
90.652   3.009
87.51   3.768
83.996   4.557
80.158   5.358
76.043   6.152
71.703   6.914
67.185   7.619
62.532   8.241
57.782   8.76
52.975   9.167
48.158   9.453
43.371   9.608
38.66   9.628
34.064   9.512
29.623   9.258
25.373   8.871
21.35   8.361
17.587   7.741
14.12   7.023
10.98   6.225
8.196   5.361
5.792   4.451
3.789   3.515
2.206   2.575
1.05   1.649
0.313   0.776
0.001   0.038
0   0
0.246   -0.502
1.117   -0.919
2.553   -1.287
4.522   -1.594
7   -1.834
9.959   -2.006
13.368   -2.111
17.189   -2.152
21.378   -2.129
25.888   -2.044
30.669   -1.897
35.67   -1.685
40.838   -1.409
46.124   -1.061
51.493   -0.635
56.931   -0.152
62.394   0.324
67.803   0.747
73.071   1.084
78.11   1.311
82.829   1.415
87.139   1.39
90.955   1.242
94.19   0.982
96.749   0.648
98.569   0.321
99.645   0.085
100   0
