S4310
100   0
99.665   0.043
98.675   0.184
97.069   0.444
94.893   0.834
92.202   1.351
89.054   1.984
85.507   2.714
81.616   3.516
77.439   4.365
73.029   5.23
68.439   6.084
63.721   6.896
58.923   7.64
54.091   8.285
49.265   8.806
44.477   9.187
39.761   9.421
35.154   9.504
30.694   9.439
26.416   9.231
22.361   8.889
18.569   8.418
15.073   7.822
11.898   7.113
9.072   6.303
6.611   5.406
4.53   4.443
2.84   3.437
1.546   2.416
0.643   1.419
0.13   0.509
0   0
0.03   -0.21
0.498   -0.721
1.603   -1.117
3.26   -1.434
5.451   -1.664
8.156   -1.807
11.352   -1.869
15.011   -1.857
19.095   -1.784
23.562   -1.661
28.362   -1.503
33.437   -1.323
38.726   -1.133
44.162   -0.942
49.677   -0.758
55.203   -0.585
60.671   -0.428
66.013   -0.291
71.162   -0.175
76.053   -0.079
80.627   0.001
84.833   0.067
88.622   0.114
91.946   0.139
94.757   0.137
97.008   0.11
98.655   0.065
99.661   0.02
100   0
