S2027
100   0
99.647   0.037
98.604   0.164
96.916   0.413
94.635   0.798
91.825   1.321
88.548   1.97
84.87   2.725
80.852   3.56
76.553   4.444
72.028   5.346
67.332   6.236
62.516   7.084
57.628   7.865
52.717   8.554
47.831   9.13
43.016   9.571
38.31   9.857
33.747   9.978
29.361   9.929
25.186   9.709
21.254   9.321
17.589   8.769
14.216   8.064
11.153   7.224
8.419   6.274
6.033   5.24
4.012   4.159
2.38   3.064
1.156   1.992
0.357   0.98
0.004   0.09
0   0
0.226   -0.627
1.078   -1.262
2.476   -1.894
4.376   -2.488
6.752   -3.027
9.581   -3.497
12.833   -3.89
16.474   -4.2
20.467   -4.42
24.773   -4.546
29.35   -4.574
34.154   -4.504
39.139   -4.338
44.256   -4.076
49.465   -3.721
54.723   -3.285
59.994   -2.792
65.225   -2.282
70.342   -1.79
75.27   -1.34
79.932   -0.946
84.257   -0.617
88.176   -0.36
91.625   -0.174
94.545   -0.055
96.884   0.005
98.597   0.02
99.646   0.009
100   0
